,playerID,ERA,WHIP,W-L,G,debut,finalGame,weight,servingDays,debutAge,inducted
0,aasedo01,3.4930769230769227,1.3900240384615383,0.5238095238095238,448,1977-07-26,1990-10-03,190.0,4817.0,23.58082191780822,N
1,abbotgl01,4.331666666666667,1.3662519440124417,0.42758620689655175,248,1973-07-29,1984-08-08,200.0,4028.0,22.589041095890412,N
2,abbotji01,4.496363636363636,1.433094384707288,0.4461538461538462,263,1989-04-08,1999-07-21,200.0,3756.0,22.28219178082192,N
3,abbotky01,8.4425,1.5431654676258995,0.19047619047619047,57,1991-09-10,1996-08-24,200.0,1810.0,23.706849315068492,N
4,abbotpa01,5.511666666666667,1.4916743755781687,0.5375,162,1990-08-21,2004-08-07,185.0,5100.0,23.65205479452055,N
5,aberal01,5.44375,1.433219178082192,0.4897959183673469,168,1950-09-15,1957-09-11,195.0,2553.0,23.720547945205478,N
6,abernte01,8.673333333333334,2.3606557377049184,0.0,7,1942-09-19,1944-04-29,210.0,588.0,21.72876712328767,N
7,abernte02,3.9652941176470593,1.3958756898054023,0.4772727272727273,681,1955-04-13,1972-09-30,215.0,6380.0,22.293150684931508,N
8,abernwo01,6.1899999999999995,1.119047619047619,0.5,16,1946-07-28,1947-04-17,170.0,263.0,31.59178082191781,N
9,abregjo01,6.38,1.8333333333333335,0.5,6,1985-09-04,1985-10-03,185.0,29.0,23.69041095890411,N
10,abreuwi01,10.412500000000001,1.7142857142857142,0.0,38,2006-08-06,2009-07-25,170.0,1084.0,29.613698630136987,N
11,accarje01,5.348999999999999,1.401639344262295,0.3333333333333333,262,2005-05-04,2012-09-27,195.0,2703.0,24.353424657534248,N
12,acevejo01,5.55,1.4470588235294115,0.4186046511627907,104,2001-06-19,2005-09-29,185.0,1563.0,24.47945205479452,N
13,aceveju01,4.508,1.4438596491228073,0.4117647058823529,367,1995-04-30,2003-08-05,245.0,3019.0,25.34246575342466,N
14,ackerji01,3.9600000000000004,1.3789163287873203,0.4024390243902439,467,1983-04-07,1992-06-14,210.0,3356.0,25.279452054794522,N
15,ackerto01,4.0025,1.3540753724802805,0.59375,153,1956-04-20,1959-09-20,215.0,1248.0,26.317808219178083,N
16,acklefr01,5.305,1.4482758620689655,1.0,5,1963-09-21,1964-05-09,202.0,231.0,26.736986301369864,N
17,acostcy01,3.4400000000000004,1.1827956989247312,0.5909090909090909,107,1972-06-04,1975-05-05,165.0,1065.0,26.44109589041096,N
18,acosted01,6.896666666666667,1.394673123486683,0.4,57,1970-09-07,1972-10-04,215.0,758.0,26.7013698630137,N
19,acostma01,3.841666666666667,1.4153225806451615,0.5,233,2007-08-12,2012-10-03,215.0,1879.0,26.627397260273973,N
20,acrema01,5.245000000000001,1.5984251968503935,0.6,114,1994-05-13,1997-05-10,235.0,1093.0,26.38082191780822,N
21,adamsjo02,6.373333333333334,1.4320241691842903,0.45454545454545453,44,1996-04-10,1998-04-26,185.0,746.0,25.29041095890411,N
22,adamsmi01,7.423333333333335,1.973684210526316,0.0,11,1967-07-01,1969-05-07,185.0,676.0,20.50958904109589,N
23,adamsre01,8.25,2.083333333333333,0.0,8,1946-05-05,1946-07-02,185.0,58.0,25.356164383561644,N
24,adamste01,5.0058333333333325,1.4608895705521472,0.4513274336283185,574,1995-08-10,2005-05-23,180.0,3574.0,22.61917808219178,N
25,adamswi02,6.095,1.5148514851485149,0.4,25,1996-06-11,1997-08-14,215.0,429.0,24.46027397260274,N
26,adenhni01,4.5,2.2777777777777777,1.0,4,2008-05-01,2009-04-08,185.0,342.0,22.345205479452055,N
27,adkinde01,6.079999999999999,1.6565656565656566,0.3333333333333333,38,1942-09-19,1949-10-02,195.0,2570.0,24.731506849315068,N
28,adkinjo01,4.09,1.5072115384615383,0.5,119,2003-08-14,2008-09-27,200.0,1871.0,26.632876712328766,N
29,adkinst01,6.38,2.0,0.3333333333333333,5,1990-09-12,1990-10-03,210.0,21.0,26.715068493150685,N
30,agostju01,5.676666666666667,1.4161788185204898,0.547945205479452,543,1981-09-07,1993-06-19,190.0,4303.0,23.698630136986303,N
31,aguilri01,3.496315789473685,1.226639132679401,0.5149700598802395,737,1985-06-12,2000-09-06,195.0,5565.0,24.46027397260274,N
32,aguirha01,3.2118749999999996,1.2321298764235522,0.5102040816326531,447,1955-09-10,1970-06-24,205.0,5401.0,24.706849315068492,N
33,ahearpa01,11.7,2.5,0.0,4,1995-06-14,1995-06-30,195.0,16.0,26.465753424657535,N
34,ainswku01,8.134,1.5552631578947367,0.4285714285714286,30,2001-09-05,2004-05-14,192.0,982.0,23.693150684931506,N
